date,con_closing,act_closing,con_settlement,act_settlement,turnover,transaction,inventory,act_invent,con_invent
2019-07-19 00:00:00,425.9,431.4,422.3,428.7,409702.0,17493982.22,71180.0,50872.0,13994.0
2019-07-22 00:00:00,426.5,434.7,423.0,429.3,295472.0,12686579.8,68578.0,49196.0,13182.0
2019-07-23 00:00:00,430.9,436.8,414.2,433.8,225270.0,9769206.6,68548.0,50154.0,11714.0
2019-07-24 00:00:00,432.0,440.5,431.0,436.7,235528.0,10285962.22,61060.0,44556.0,9592.0
2019-07-25 00:00:00,433.6,440.6,432.0,441.4,314226.0,13866618.58,56502.0,42984.0,5600.0
2019-07-26 00:00:00,436.0,444.2,433.7,442.5,232220.0,10273613.48,52640.0,38304.0,3094.0
2019-07-29 00:00:00,434.0,439.2,433.5,441.5,228526.0,10091098.42,57652.0,37360.0,2900.0
2019-07-30 00:00:00,436.0,444.1,432.3,440.8,241950.0,10668728.5,57974.0,35642.0,1792.0
2019-07-31 00:00:00,440.0,446.4,442.6,444.3,217040.0,9648076.68,55830.0,31578.0,1786.0
2019-08-01 00:00:00,442.9,442.9,444.6,444.6,260722.0,11596821.9,54780.0,30250.0,30250.0
2019-08-02 00:00:00,428.4,428.4,431.5,431.5,356114.0,15374957.42,60320.0,32756.0,32756.0
2019-08-05 00:00:00,433.0,433.0,433.4,433.4,320744.0,13907524.18,60018.0,31020.0,31020.0
2019-08-06 00:00:00,430.5,430.5,429.5,429.5,289048.0,12420598.52,58904.0,30482.0,30482.0
2019-08-07 00:00:00,419.1,419.1,423.7,423.7,235054.0,9963634.24,62966.0,33308.0,33308.0
2019-08-08 00:00:00,413.5,413.5,408.1,408.1,440204.0,17975214.3,64912.0,31434.0,31434.0
2019-08-09 00:00:00,412.2,412.2,409.7,409.7,248454.0,10179597.02,64930.0,31490.0,31490.0
2019-08-12 00:00:00,417.9,417.9,419.2,419.2,267286.0,11203655.22,62682.0,28580.0,28580.0
2019-08-13 00:00:00,418.0,418.0,419.8,419.8,202654.0,8507289.68,63186.0,28450.0,28450.0
2019-08-14 00:00:00,431.6,431.6,428.8,428.8,324296.0,13902010.74,61578.0,25664.0,25664.0
2019-08-15 00:00:00,422.4,420.0,421.2,419.1,314078.0,13219525.16,63124.0,31426.0,24912.0
2019-08-16 00:00:00,424.6,418.0,418.1,414.8,294104.0,12276473.28,62458.0,32090.0,23412.0
2019-08-19 00:00:00,432.0,424.8,424.6,418.7,260228.0,11003519.92,61028.0,35164.0,18470.0
2019-08-20 00:00:00,431.4,427.0,432.6,425.4,246530.0,10541999.62,54450.0,40672.0,6272.0
2019-08-21 00:00:00,431.4,426.4,429.3,422.9,260436.0,11015035.5,50890.0,38510.0,5074.0
2019-08-22 00:00:00,430.0,425.7,431.5,428.4,259086.0,11101206.88,47858.0,37792.0,2540.0
